c_r_rc_100_100/c101.txt ,1.686874465,1.686874465,0,4.274279118,,Instancia,Soluci—n inicial 1era iteraci—n,Mejor Soluci—n Inicial,Mejor Encontrado ILS,GAP %,Tiempo (s)
c_r_rc_100_100/c101.txt ,1.684465609,1.684465609,0,4.298035145,,,,,,,
c_r_rc_100_100/c101.txt ,1.639267372,1.646204833,0.423204988,5.641940832,,,,,,,
c_r_rc_100_100/c101.txt ,1.645218001,1.684621579,2.395036934,8.550348043,,,,,,,
c_r_rc_100_100/c101.txt ,1.652760651,1.682051173,1.772218008,7.050675869,,,,,,,
c_r_rc_100_100/c101.txt ,1.693536376,1.693536376,0,4.251703978,,,,,,,
c_r_rc_100_100/c101.txt ,1.621077633,1.681092411,3.702153248,7.352057934,,,,,,,
c_r_rc_100_100/c101.txt ,1.68233601,1.68233601,0,4.207712173,,,,,,,
c_r_rc_100_100/c101.txt ,1.615752641,1.689942216,4.591641853,9.763918877,,,,,,,
c_r_rc_100_100/c101.txt ,1.651873968,1.666098511,0.861115527,7.959932089,,,,,,,
c_r_rc_100_100/c101.txt ,1.677170589,1.677170589,0,4.287626982,,,,,,,
c_r_rc_100_100/c101.txt ,1.676194009,1.681279589,0.303400476,6.036514044,,,,,,,
c_r_rc_100_100/c101.txt ,1.660574143,1.660574143,0,4.16535902,,,,,,,
c_r_rc_100_100/c101.txt ,1.627209023,1.644424571,1.057980126,9.535544157,,,,,,,
c_r_rc_100_100/c101.txt ,1.938498543,1.940979056,0.127960515,6.189751148,,,,,,,
c_r_rc_100_100/c101.txt ,1.672970371,1.686874465,0.83110223,5.817834139,,,,,,,
c_r_rc_100_100/c101.txt ,1.676759774,1.676759774,0,4.382117033,,,,,,,
c_r_rc_100_100/c101.txt ,1.63030231,1.660954467,1.880151692,17.2275269,,,,,,,
c_r_rc_100_100/c101.txt ,1.653171466,1.653171466,0,10.35187316,,,,,,,
c_r_rc_100_100/c101.txt ,1.658909724,1.658909724,0,4.192341089,,,,,,,
c_r_rc_100_100/c101.txt ,1.69728846,1.69728846,0,4.353382826,,,,,,,
c_r_rc_100_100/c101.txt ,1.661208232,1.661208232,0,4.373250008,,,,,,,
c_r_rc_100_100/c101.txt ,1.644267762,1.680341222,2.19389205,7.323779106,,,,,,,
